step,altitude,x_vel,y_vib,angle,fuel,reward,thrust,gimbal,cum_reward
64,422.83997,9.819938,-0.52708185,0.0,1000.0,31.115644,-0.23771764,0.0,2980.249
65,413.02997,9.819938,-0.52708185,0.0,1000.0,30.625145,-0.23302838,0.0,3010.8743
66,403.21997,9.819938,-0.52708185,0.0,1000.0,30.134645,-0.2316283,0.0,3041.009
67,393.40997,9.819938,-0.52708185,0.0,1000.0,29.644146,-0.21618585,0.0,3070.653
68,383.59998,9.819938,-0.52708185,0.0,1000.0,29.153645,-0.20879243,0.0,3099.8066
69,373.78998,9.819938,-0.52708185,0.0,1000.0,28.663145,-0.20847155,0.0,3128.4697
70,363.97998,9.819938,-0.52708185,0.0,1000.0,28.172646,-0.20838316,0.0,3156.6423
71,354.16998,9.819938,-0.52708185,0.0,1000.0,27.682146,-0.20822752,0.0,3184.3245
72,344.36,9.819938,-0.52708185,0.0,1000.0,27.191647,-0.20793112,0.0,3211.516
73,334.55,9.819938,-0.52708185,0.0,1000.0,26.701145,-0.20735689,0.0,3238.2173
74,324.74,9.819938,-0.52708185,0.0,1000.0,26.210646,-0.20412178,0.0,3264.428
75,314.93,9.819938,-0.52708185,0.0,1000.0,25.720146,-0.18525514,0.0,3290.1482
76,305.12,9.819938,-0.52708185,0.0,1000.0,25.229645,-0.18169498,0.0,3315.378
77,295.31,9.819938,-0.52708185,0.0,1000.0,24.739147,-0.1803277,0.0,3340.1172
78,285.5,9.819938,-0.52708185,0.0,1000.0,24.248646,-0.18026319,0.0,3364.3657
79,275.69,9.819938,-0.52708185,0.0,1000.0,23.758146,-0.18171395,0.0,3388.1238
80,265.88,9.819938,-0.52708185,0.0,1000.0,23.267647,-0.1861506,0.0,3411.3914
81,256.07,9.819938,-0.52708185,0.0,1000.0,22.777145,-0.1892419,0.0,3434.1685
82,246.26001,9.819938,-0.52708185,0.0,1000.0,22.286648,-0.19087903,0.0,3456.455
83,236.45001,9.819938,-0.52708185,0.0,1000.0,21.796146,-0.19138806,0.0,3478.2512
84,226.64001,9.819938,-0.52708185,0.0,1000.0,21.305647,-0.19149525,0.0,3499.557
85,216.83002,9.819938,-0.52708185,0.0,1000.0,20.815147,-0.19148716,0.0,3520.372
86,207.02002,9.819938,-0.52708185,0.0,1000.0,20.324646,-0.19145797,0.0,3540.6968
87,197.21002,9.819938,-0.52708185,0.0,1000.0,19.834148,-0.19143316,0.0,3560.531
88,187.40002,9.819938,-0.52708185,0.0,1000.0,19.343647,-0.1914166,0.0,3579.8748
89,177.59003,9.819938,-0.52708185,0.0,1000.0,18.853148,-0.19140665,0.0,3598.7278
90,167.78003,9.819938,-0.52708185,0.0,1000.0,18.362648,-0.19140097,0.0,3617.0903
91,157.97003,9.819938,-0.52708185,0.0,1000.0,17.872147,-0.19139785,0.0,3634.9624
92,148.16003,9.819938,-0.52708185,0.0,1000.0,17.381647,-0.19139622,0.0,3652.344
93,138.35004,9.819938,-0.52708185,0.0,1000.0,16.891148,-0.1914895,0.0,3669.235
94,128.54004,9.819938,-0.52708185,0.0,1000.0,16.400648,-0.20443091,0.0,3685.6357
95,118.73004,9.819938,-0.52708185,0.0,1000.0,15.910148,-0.20287749,0.0,3701.546
96,108.920044,9.819938,-0.52708185,0.0,1000.0,15.419648,-0.25160277,0.0,3716.9656
97,99.11005,9.819938,-0.52708185,0.0,1000.0,14.929148,-0.26807252,0.0,3731.8948
98,89.30005,9.819938,-0.52708185,0.0,1000.0,14.438648,-0.26817992,0.0,3746.3335
